,ID_long,add_info,notes
1295,3458110635-61049-101_3458110635-61049-102,"BRE Cert 03/25/1959
Listings Mar. 25-59",Note at the top of the card: “Second copy”
1296,3458110635-61049-103_3458110635-61049-104,"BRE Cert 03/23/1959
Listings Mar-25-59","Weekly rental is 16.00 for the original address.
Income Person 1 is Welfare"
1297,3458110635-61049-105_3458110635-61049-106,BRE Cert 02/24/1959 Processed 03/26/1959,Monthly rental is “Free supt”
1298,3458110635-61049-107_3458110635-61049-108,"BRE Cert Substandard- No Private Bath- toilet- overcrowded) 03/23/1959
03/30/1959 Processed","Weekly rental is 22.00 for the original address. 
No family information, but Income says Welfare. 
Weekly rental is 24.10 for the new address."
1299,3458110635-61049-109_3458110635-61049-110,"03/30/1959 Processed
BRE Cert OK 03/16/1959","Weekly rental is 16.00 for the original address.
Note in the back of the card: “Margaret Jamison”
No date in the back of the card."
1305,3458110635-61049-121_3458110635-61049-122,BRE Cert 04/03/1959 Processed 04/13/1959,"Weekly rental is 17.00 for the new address. 
No family information."
1306,3458110635-61049-123_3458110635-61049-124,BRE Cert 04/04/1959 Processed 04/13/1959,Weekly rental is 25.00 for the new address.
1307,3458110635-61049-125_3458110635-61049-126,BRE Cert 04/03/1959- Processed 04/13/1959,Weekly rental is 24.00 for the original address.
1308,3458110635-61049-127_3458110635-61049-128,BRE Cert 04/03/1959 Processed 04/13/1959,"Weekly rental is 16.00 for the original address. 
No family information."
1309,3458110635-61049-129_3458110635-61049-130,"BRE Cert 04/03/1959 Processed 04/13/1959
Reprocessed- Mo#1260 Revised 05/26/1959","Weekly rental is 17.00 for the original address.
Can’t understand Second Person relationship
Weekly rent is 15.00 for the new address."
1312,3458129566-61050-001_3458129566-61050-002,BRE Cert 04/03/1959 Processed 04/08/1959,Weekly rental is 15.00 for the original address.
1313,3458129566-61050-003_3458129566-61050-004,"BRE Cert 03/25/1959
Listings 03/02/1959",Weekly rental is 30.00 for the original address.
1314,3458129566-61050-005_3458129566-61050-006,"Listings 12/19/1958
BRE Cert 12/16/1958",
1316,3458129566-61050-009_3458129566-61050-010,BRE Cert OK 05/29/1959,"No date in the front of the card. 
Person 1 Income is Welfare
Note: “I.S. #75”"
1318,3458129566-61050-013_3458129566-61050-014,"04/01/1959 1042 Lafayette 
04/02/1959 ... 6 @ 1207
05/04 64 Monroe St. 37 @ 110-
Listing May 27/1959
BRE Cert OK 05/05/1959","Weekly rent is 30.00 for the original address. 
Income is welfare"
1319,3458129566-61050-015_3458129566-61050-016,"03/03/1959- 149-05-130 Ave 4@100-
05/04 735 Gates Ave 5 @ 110-
05/05 Agent-Cramer 5-
Listings May 27/1959
BRE Cert OK- May 27/1959",Weekly rental is 32.00 for the original address.
1321,3458129566-61050-019_3458129566-61050-020,"01/26/1959 BRE Cert. substandard- overcrowded
02/09/1959 Processed","No M.O. 
Semi monthly rental of 69.35
Person 1 and 2 income is Welfare
Welfare Assistance note: “308.00 + 50.00 for sick”
Seperated"
1322,3458129566-61050-021_3458129566-61050-022,BRE Cert 03/26/1959,"Weekly rental is 34.00 for the original address. 
Separated"
1323,3458129566-61050-023_3458129566-61050-024,"Listing, 03/20/1959 BRE Cert 03/17/1959",Income is Welfare
1327,3458129566-61050-031_3458129566-61050-032,"01/21/1959 BRE Cert substandard- overcrowded 
12/09/1959 Processed","Weekly rental is 30.00 for the original address.
Weekly rent for new address is 26.00"
1328,3458129566-61050-033_3458129566-61050-034,05/15/1958 BRE inspection substandard,Weekly rental is 30.00 for the original address.
1329,3458129566-61050-035_3458129566-61050-036,BRE Cert 03/05/1959- Processed 04/13/1959,Weekly rental is 30.00 for the original address.
1330,3458129566-61050-037_3458129566-61050-038,BRE Cert 03/09/1959- Processed 04/15/1959,"Weekly rental is 30.00 for the original address. 
Weekly rent is 19.50 for the new address."
1331,3458129566-61050-039_3458129566-61050-040,"BRE Cert 04/03/1959
Processed 04/13/1959",Weekly rental is 32.00 for the original address.
1333,3458129566-61050-043_3458129566-61050-044,BRE Cert. 04/03/1959 Processed 04/08/1959,
1335,3458129566-61050-047_3458129566-61050-048,,"Weekly rental is 30.00 for the original address. 
Note in Moving Expense: “70.00 (BRE)”"
1336,3458129566-61050-049_3458129566-61050-050,"List of addresses. Listings May 19/1959
BRE Cert. OK 05/05/1959","Weekly rental is 30.00 for the original address.
A few people crossed off the Family Composition list. 
Person 1 Income is Welfare
Notes in Welfare: “Eartha Frerson” “(06/17/1958- Le542500” “Unit F”"
1337,3458129566-61050-051_3458129566-61050-052,"04/02/1959 821 E 179 St 3 @ 46.50
Listings May 01/1959
BRE Cert. OK 04/30/1959",Weekly rental is 16.00 for the original address.
1347,3568895288-61053-009_3568895288-61053-010,"12/09/1958 Processed
BRE Cert Substandard 
Revised m/o 01/14/1959 Processed",Weekly rental is 12.00 for the original address.
1350,3568895288-61053-015_3568895288-61053-016,10/07/1958 Processed w/o BRE Cert,"Weekly rental is 10.22 for the original address. 
Income for Person 1 is Welfare
Note in Length of Residence: “Verified MIss Paterson Dept of Welfare 69th Street”"
1351,3568895288-61053-017_3568895288-61053-018,"Tenant was shown 8 apartments. 
10/20/1958 Processed w/o BRE Cert.","Weekly rental is 17.00 for the original address. 
Separated"
1352,3568895288-61053-019_3568895288-61053-020,"11/05/1958 Processed w/o BRE Cert
10/28/1958 BRE Cert OK","Weekly rental is 10.00 for the original address. 
Person 1 is Unemployed"
1362,3568895561-61054-003_3568895561-61054-004,"bre cert 04/13/1959 substandard no heat, processed 04/20/1959",
1364,3568895561-61054-007_3568895561-61054-008,"listing 08/21/1959, bre cer ok 08/19/1959, offered multiple addresses  ",
1367,3568895561-61054-013_3568895561-61054-014,"bre cert 04/13/1959, processed 04/13/1959",
1370,3568895561-61054-019_3568895561-61054-020,"bre cert 02/24/1959, listing 02/20/1959",
1371,3568895561-61054-021_3568895561-61054-022,"bre cert 03/27/1959, listing 03/26/1959",
1374,3568895561-61054-027_3568895561-61054-028,"listing 05/08/1959, bre cert ok 05/04/1959",
1375,3568895561-61054-029_3568895561-61054-030,bre cert 03/11/1959 - forwarded 03/23/1959,
1377,3568896225-61055-001_3568896225-61055-002,"04/16 303 W 111th 4 @ 54 + 15%
04/20 547 Amsterdam Ave 3@ 31.75
Listings May 15/1959
BRE Cert Ok 05/25/1959",Person 2 is a Housewife
1385,3568896225-61055-017_3568896225-61055-018,"Moved from 126 W 65 St 1st floor and 95 Amst. Ave 12/03/1958 
BRE Cert 04/01/1959","Stamp: “Emergency Move Intra-site Transfer”
Note in the back of the card: “Evicted Non-Payment”"
1388,3568896225-61055-023_3568896225-61055-024,"03/18/1959 
BRE Cert 03/09/1959",Person 2 is a Housewife
1392,3568896225-61055-031_3568896225-61055-032,"BRE Cert OK 04/23/1959
Listings Apr. 24/1959",
1395,3568896225-61055-037_3568896225-61055-038,,Moving Expenses says “100.00 BRE”
1397,3568897909-61056-001_3568897909-61056-002,"bre cert 04/08/1959 processed 04/13/1959, multiple addresses offered ",
1400,3568897909-61056-007_3568897909-61056-008,"listing 04/24/1959 bre cert ok 05/05/1959, multiple addresses offered ",
1402,3568897909-61056-011_3568897909-61056-012,"listing 06/01/1959 bre cert ok 04/27/1959, multiple addresses offered ",
1406,3568897909-61056-019_3568897909-61056-020,"02/05/1959 bre cert substandard, 02/09/1959 processed",
1409,3568897909-61056-025_3568897909-61056-026,"listing 06/08/1959 bre cert ok 05/11/1959, address offered 03/06/1959 2350 Roger ave 2 @ 55.00",
1412,3568897909-61056-031_3568897909-61056-032,"bre cert ok 08/04/1959 listing, multiple addresses offered ",
1413,3568897909-61056-033_3568897909-61056-034,listing 01/09/1959 bre cert 12/11/1958 ok,
1417,3568900074-61057-005_3568900074-61057-006,BRE Cert 04/06/1959 Processed 04/13/1959,
1423,3568901018-61058-001_3568901018-61058-002,listing 03/13/1959 bre cert ok 03/02/1959,
1424,3568901018-61058-003_3568901018-61058-004,listing 01/08/1959 bre cert ok 01/12/1959,
1428,3568901018-61058-011_3568901018-61058-012,"bre cert 02/25/1959, processed 04/15/1959",
1429,3568901018-61058-013_3568901018-61058-014,bre cert 03/24/1959 listing 03/20/1959,
1433,3568901018-61058-021_3568901018-61058-022,"assign to public housing (refuse), listing 03/26/1959, bre certok 04/20/1959",
1440,3568902147-61059-001_3568902147-61059-002,Listings 01/12/1959 BRE Cert OK 01/21/1959,"Note in Monthly rent: “Store”
Person 1 Unemployed
Person 2 is a Housewife"
1443,3568902147-61059-007_3568902147-61059-008,"List of addresses. 
Listings 06/19/1959
BRE Cert 06/19/1959",Note in Monthly Rental: “Verified 02/25”
1445,3568902147-61059-011_3568902147-61059-012,"02/10/1959 BRE Cert Substandard- Overcrowded
03/02/1959 Processed
More information.",
1451,3568902147-61059-023_3568902147-61059-024,BRE Cert 04/07/1959 Processed 04/13/1959,Person 3 is in School
1454,3568902147-61059-029_3568902147-61059-030,02/17/1959 Processed (BRE Cert S/S) 01/26/1959,"No M.O.
Note in Welfare: “106.70 Bi. Mo.”
Rent Rage is Welfare"
1462,3568902741-61060-003_3568902741-61060-004,"List of addresses. 
Listings June 08/1959
BRE Cert OK 06/08/1959",Separated.
1467,3568902741-61060-013_3568902741-61060-014,"Address. 
BRE Cert OK 08/12/1959
Listings Aug 11/1959",Note in Monthly Rental- “Verified”
1468,3568902741-61060-015_3568902741-61060-016,11/05/1958 Processed w/o BRE Certification,"Person 1, 2, 3 are Employed"
1472,3568902741-61060-023_3568902741-61060-024,"List of addresses.
BRE Cert OK
Listings May 11/1959","Welfare is 65.00 Bi. Mo.
Rent Rage is Welfare"
1474,3568902741-61060-027_3568902741-61060-028,"Address. 
Listings May 20/1959
BRE Cert Ok 05/04/1959","Welfare is 80.00 Bi. Mo.
Rent Range is Welfare"
1478,3568902741-61060-035_3568902741-61060-036,"List of addresses.
Listings May 11/1959
BRE Cert 01/12/1959","Income is Soc. Sec.
Widowed"
1480,3568902741-61060-039_3568902741-61060-040,08/21/1958 Form Processed w/o BRE Cert,
1483,3568902741-61060-045_3568902741-61060-046,Info gotten from Bureau of Real Estate records- 04/16/1958 substandard by BRE,"Ages instead of Year of Birth.
Two dates, first one is 03/03/1958
Weekly rental is 18.00 for the new address."
1485,3568902741-61060-049_3568902741-61060-050,"BRE Cert 03/23/1959 OK
Listings Apr. 15/1959",Note: “On site transfer from 143 W 64 St apt. 8 p 127”
1490,3568903702-61061-005_3568903702-61061-006,"08/14/1959 BRE Cert Substandard (No Private Bath, No Toilet)
Processed 08/19/1959","New Address: “463 W 34 St, Apt. 5”
Another New Address: “? Elizabeth Murray”
Another Address: “Final- 321 W 33 Apt 23”"
1492,3568903702-61061-009_3568903702-61061-010,"08/13/1958 Inspected by BRE shows apt found by tenant to be substandard
12/17/1958 M/O Paper processed
11/17/1958 Off site Standard- Toilet installed in apt. C. Di Bello (BRE)",
