,ID_long,add_info,notes
3,3104718669-60949-007_3104718669-60949-008,"BRE Certified 04/08/1959
Processed 04/13/1959
Certified to Sponsor 04/09/1959","Income for the head of household indicated ""Home""."
7,3104718669-60949-015_3104718669-60949-016,"Licensed 06/29/1959
BRE Certified Substandard 06/29/1959
Processed 07/09/1959","Address in Front of card indicates 163-165 West 62
Floor number is unclear.
Income has a question mark in it
Unclear what the income source is."
13,3104734180-60950-011_3104734180-60950-012,"BRE Cert Substandard No Central Heat
01/14/ Licensed",Some information in the “Additional Information” section is unclear.
22,3104744331-60951-013_3104744331-60951-014,BRE Cert 04/10/1959 - Processed 04/14/1959,Revised on 01/26/2024.
23,3104744331-60951-015_3104744331-60951-016,"02/01/1959 98 Vermilyea Ave 3@58-
04/11/1959 862 10th Ave@5214
BRE Cert 04/15/1959 Processed 04/15/1959",Second son has a line crossing it. Date moved in only includes the year. Employment information is of the first son.
27,3104750306-60952-005_3104750306-60952-006,BRE Cert 03/18/1959 Founded 03/23/1959,Income for W is unclear. Date moved in does not include date.
38,3105040525-60953-011_3105040525-60953-012,"BRE Cert OK 03/09/1959
03/10/1959 Cert to Sponsor
Listings 03/11/1959",Date Moved In only includes the year.
52,3105078105-60955-003_3105078105-60955-004,"Listings 04/17/1959 (Apr. 17-59), BRE Cert OK 4/20/1959",Revised on 01/31/2024
57,3105078105-60955-013_3105078105-60955-014,"BRE Cert 4/10/59
Processed 4/13/59",The family moved to Ravenswood Houses (public housing) in Astoria
63,3105082501-60956-001_3105082501-60956-002,"Tenant want home 1st fl. in this area. 
BRE Cert 03/19/1959. Processed 04/01/1959. 
03/25/1959 No Claim Moving. 
03/20/1959 Off Site Standard. ",Date Moved In only includes the year. Card indicated the person will relocate themselves.
73,3105086719-60957-003_3105086719-60957-004,"BRE Cert OK 4/1/59
Listings 2/5/59
4/2/59 Standard Apt. ",Unclear whether apartment 5E or 5W.
97,3105160556-60959-005_3105160556-60959-006,"BRE. Cert. 4/7/59
Listings Apr. 2 - 59",
104,3105160556-60959-019_3105160556-60959-020,"BRE Cert. 03/25/1959 
Listing March. 26-59","- For “Relationship Per. No. 3” under Family Composition, they wrote 5 dots, which I assume from the “Relationship Per. No. 2 relationship which was “daughter” and their birthday that 
- Per. No. 3 is also a daughter but I entered the 5 dots re"
110,3105160556-60959-031_3105160556-60959-032,"listing 06/04/1959, bre cert ok 06/09/1959",
111,3105160556-60959-033_3105160556-60959-034,processed bre cert ok 06/19/1959,
119,3105164959-60960-015_3105164959-60960-016,"02/16/1959 Processed 
Standard apt by BRE 02/09/1959","For no. years in site it has the date (1943), I wrote in 15 years
Family relocation plan: number of rooms required: 2.5 or 3
Family relocation plan: max 60 ren
Relocated to: both Private rental housing and tenant found are marked
On site rent discrepancy, back lists 49.40 instead of 41.40
Gas or Elec fridge question is missing, answer is Yes (on site)


"
139,3105169069-60961-015_3105169069-60961-016,"bre cert ok processed 06/08/1959, listing 06/08/1959",
141,3105169069-60961-019_3105169069-60961-020,"listing 06/19/1959, bre cert ok 06/19/1959",
146,3105169069-60961-029_3105169069-60961-030,10/07/1958 processed w/o bre cert,
148,3105170895-60962-003_3105170895-60962-004,Listing 02/06/1959. BRE Cert OK 01/28/1959,New address is possibly 74 west 8th st. Not clear.
161,3105195350-60963-009_3105195350-60963-010,"bre cert 04/07/1959 , processed 04/13/1959",
170,3105195350-60963-027_3105195350-60963-028,"listing 02/13/1959, bre cert ok 02/28/1959",
188,3105211839-60965-023_3105211839-60965-024,"Listings April 20, 59
BRE Cert April 16, 1959","Income is listed at $124 but unclear whether pension is monthly, bi weekly, or weekly"
189,3105211839-60965-025_3105211839-60965-026,"12/11/58 Refused Queensbridge
BRE Cert 4/8/59 Processed 4/14/59",
190,3105211839-60965-027_3105211839-60965-028,BRE Cert 4/6/59 Processed 4/6/59,"Apartment number also says 3A
Gas and Electric refrigerator are both checked off but doesn’t say whether it’s landlord owned or tenant owned
"
196,3105211839-60965-039_3105211839-60965-040,BRE Cert 3/17/59,"Date just has the month listed (5)
Year and country of birth for H is crossed out
Widowed is circled
"
199,3105221470-60967-005_3105221470-60967-006,"07/08/1958 Tenant wants only Manhattan 4 or 5 rooms.
08/29/1958 Tenant was offered all apts #80 Eldridge st 4mo Rent to high Refused. 
BRE Cert Ok 12/15/1958",
209,3105228825-60968-003_3105228825-60968-004,BRE Cert 03/20/1959 Processed 03/26/1959,Tenants specified they wanted to relocate in the west side between 50s and 60s streets. Date Moved In only includes the year. A lot of missing information.
211,3105228825-60968-007_3105228825-60968-008,"BRE Cert 03/29/1959 
Processed 04/01/1959",Comment in the Welfare section indicates “none”. Tenant indicated they did not want to live in Public Housing. Date Moved In only includes the year. Tenant did not pay rent on the relocation site because they were the super.
233,3105247721-60970-007_3105247721-60970-008,"BRE Cert OK 7/24/59 

Listings 7-21-59",This card was mostly empty. New monthly rent is written as 115 + 1/3 heat.
235,3105247721-60970-011_3105247721-60970-012,"Four addresses are listed in the back with date, address, room # information, and monthly rent amount. Some notes written in parenthesis are strikethrough'd and unintelligible. 

BRE Cert 4/13/59
Listings Apr-10-59","Mother is listed as the first person in the family, ""D"" as the second. D has a weekly income of $50. Not sure whether marital status of ""widowed"" applied to mother or daughter. ""D""'s information in the family composition section is strikethrough'd. "
236,3105247721-60970-013_3105247721-60970-014,"8/20/58 For Process w/o BRE Cert [initials]
BRE Cert OK 8/11/58",
246,3105255100-60971-005_3105255100-60971-006,"7 addresses listed in this section, with date, address, number of rooms, and monthly rental listed. 

Listings Aug. 26-59
BRE Cert OK 9/3/59","Marital status written as ""single"", which I marked as Other. "
249,3105255100-60971-011_3105255100-60971-012,"11/24/58 Refused - Vladeck  - Too far 
Scheduled to move into: Millbrook Hses.
3/16/59 Processed
BRE Cert 3/12/59","family of 3. head was born in Puerto Rico, wife is from Italy and daughter was born in Austria. race marked as Puerto Rican. wanted to move into public housing and moved to public housing. "
250,3105255100-60971-013_3105255100-60971-014,"12/13 Sent tenant 338 W 17th St 4 rms $65 E.G. 
Listings Mar. 4/59 
BRE Cert OK 3/9/59 ",The head of the household is legally wed but the spouse isn't listed among the family members
251,3105255100-60971-015_3105255100-60971-016,"12/9/58 Proc. w/o BRE Cert
BRE Cert OK 12/11/58",Family has been in location for less than 2 months before the date of the first interview.
263,3105257795-60972-015_3105257795-60972-016,"[stamped date] Dec 18 1958
To listings
BRE Cert OK 12/16/58",
271,3105260901-60973-007_3105260901-60973-008,"listing 02/18/1959, bre cert 02/18/1959",
274,3105260901-60973-013_3105260901-60973-014,"listing 06/22/1959, bre cert ok 05/27/1959",
275,3105260901-60973-015_3105260901-60973-016,"listing 05/11/1959, bre cert ok 05/13/1959",
277,3105260901-60973-019_3105260901-60973-020,bre cert 03/18/1959 - forwarded 03/23/1959,
278,3105260901-60973-021_3105260901-60973-022,"listing 03/10/1959, bre cert ok 03/17",
281,3105260901-60973-027_3105260901-60973-028,bre cert 03/25/1959 processed 04/01/1959,
282,3105260901-60973-029_3105260901-60973-030,"bre cert 03/25/1959, processed 04/01/1959",
284,3105271794-60974-003_3105271794-60974-004,"bre cert 03/26/1959, processed 04/01/1959",
289,3105271794-60974-013_3105271794-60974-014,"listing 03/04/1959, bre cert ok 03/09/1959",
315,3105288010-60976-005_3105288010-60976-006,"Listings May 4-59
BRE Cert OK 8/20/59",
319,3105288010-60976-013_3105288010-60976-014,BRE Cert 4/10/59 Processed 4/13/59,"Persons 3 and 4 are listed as ""D of 2""  "
320,3105288010-60976-015_3105288010-60976-016,"BRE Cert 4/1/59 
Processed 4/6/59 ",No income information is intelligible
324,3105288010-60976-023_3105288010-60976-024,"One listed address with date, address, number of rooms, and monthly rent 

BRE Cert 4/6/59
Listings Apr. 7 - 59",Person 2 is crossed out but there's no indication why.
326,3105291390-60977-003_3105291390-60977-004,"11/24/1958 processed w/o bre cert, processed 12/03",
327,3105291390-60977-005_3105291390-60977-006,"bre certification 08/18/1958 substandard, rein spection certificate ok 05/14/1959, processed 06/02/1959",
329,3105291390-60977-009_3105291390-60977-010,"listing 12/22/1958, bre cert 01/06/1959 ok",
342,3105293794-60978-005_3105293794-60978-006,"12/15/1958 Processed w/o BRE Cert
BRE Cert Substandard","In this case, where tenants indicate Area Desired is Long Island I believe they actually refer to Long Island and not Queens. Note taker checked all race categories. Date Moved In only includes the year. A lot of missing information. Little information provided of the relocated area, none of the on site location."
344,3105293794-60978-009_3105293794-60978-010,Listings 01/20/1959. BRE Cert Ok 01/30/1959.,"Not clear what tenants meant with their requirement of “two units” for Number of Rooms Required. Tenant’s desired area says “East Side”. Presumably they are referring to the East Side of Manhattan. Note taker checked all race categories. Date Moved In does not include the day. Some information for On Site, none for Relocated site. "
352,3105296384-60979-005_3105296384-60979-006,"09/30/1958 offered a location but didn't like location, 11/13/1958 processed w/o bre cert ",
353,3105296384-60979-007_3105296384-60979-008,08/20/1958 processed w/o bre cert,
354,3105296384-60979-009_3105296384-60979-010,"bre cert 03/30/1959, 02/09/1959 processed ",
358,3105296384-60979-017_3105296384-60979-018,"listing 02/10/1959, bre cert ok 02/10/1959",
359,3105296384-60979-019_3105296384-60979-020,10/07/1958 processed w/o bre cert,
360,3105296384-60979-021_3105296384-60979-022,10/27/1958 processed w/o bre cert,
361,3105296384-60979-023_3105296384-60979-024,10/27/1958 processed w/o bre cert,
365,3105296384-60979-031_3105296384-60979-032,08/21/1958 processed w/o bre cert,
366,3105298148-60980-001_3105298148-60980-002,"Listings 2/2/59
BRE Cert OK 1/30/59",On-site apartment had no heat. Sponsor found new location. All races checked.
367,3105298148-60980-003_3105298148-60980-004,"BRE Cert. 3/6/59
Listings 2/24/59 ",Subtenant; a lot of missing data. Is there another record in the same location linked to this one (the actual tenant's?)
371,3105298148-60980-011_3105298148-60980-012,"1/13/58 Processed w/o BRE Cert. 
11/10/58 BRE Cert OK",
375,3105298148-60980-019_3105298148-60980-020,"Listings - 1/20/59
2/2/59 BRE Cert OK","Family composition section did not include relationship of the four people who lived in the apartment, but employment data section indicated the employed people were the sons. "
398,3105302993-60982-013_3105302993-60982-014,"12/18/1958 Listing 
BRE Cert 01/05/1959",Note taker checked all race categories. Date Moved In only includes the year. A lot of missing information.
404,3150219515-60966-003_3150219515-60966-004,Dec 18 1958 BRE Cert OK,"Marital status: other: single
Discrepancy in length of residence. 8 yrs in site but moved in in 1955
Complete bathroom is crossed out, has separate bathroom and toilet
12 year old child in the household listed as ""friend"""
406,3150219515-60966-007_3150219515-60966-008,"Agent prefers 1717 3rd ave
11/7/58 Processed w/o BRE Cert
10/6/57 BRE Cert Ok",This card has the relocation info for the previous card.
411,3150219515-60966-017_3150219515-60966-018,"Listings Jan 06/1959
BRE Cert 01/05/1959 OK",New apt. No. says 2nd Fl
415,3150219515-60966-025_3150219515-60966-026,"BRE Cert 02/25/1959 
Processed 04/15/1959","Single
Occupation says Social Security
No date in the back of the card."
424,3150219515-60966-043_3150219515-60966-044,"Listings Apr. 07/1959
BRE Cert 04/08/1959",Separated.
426,3195236545-60983-003_3195236545-60983-004,12/9/58 Proc. w/o BRE Cert,All races checkmarked.
428,3195236545-60983-007_3195236545-60983-008,"9/29/58 4 rms 155 W 106 @ $60 
12/15/58 Processed w/o BRE Cert
BRE Cert 12/23/68 OK",Family of 4; place of birth is the Dominican Republic. Race check-marked as Puerto Rican but also Dominican is written and crossed over.
432,3195236545-60983-015_3195236545-60983-016,"12/9/58 Processed w/o BRE Cert
BRE Cert OK 12/1/58",Person 1 is retired. No income reported. Income source section was left blank.
436,3195236545-60983-023_3195236545-60983-024,10/20/1958 Processed w/o BRE Cert.,All races checked.
438,3195263566-61020-001_3195263566-61020-002,bre cert 02/24/1959 processed 04/15/1959,
445,3195263566-61020-015_3195263566-61020-016,11/20/1958 processed w/o bre cert,
478,3195364380-61052-005_3195364380-61052-006,"12/03/1958 BRE Cert Substandard 
Overcrowded, No Private Bath or Toilet
Dec 10 1958","Note that Rental is Certified
Income Person 1 is Welfare"
480,3195364380-61052-009_3195364380-61052-010,"BRE Certification- 09/10/1958 Substandard (overcrowded)
11/19/1958 Processed","Person 2 is a Housewife
Weekly rental is 24.00 for the new address."
481,3195364380-61052-011_3195364380-61052-012,"BRE Cert substandard No Private Bath, No Private Toilet, overcrowded 11/17/1958","Weekly rental is 15.00 for the original address. 
Weekly rental is 19.00 for the new address."
499,3195364380-61052-047_3195364380-61052-048,"11/07/1958 Processed w/o BRE Cert
Proc. 12/03","Weekly rental is 17.00 for the original address. 
Rent range is 18.00 a week."
500,3195364380-61052-049_3195364380-61052-050,"10/27/1958 Processed w/o BRE Cert
10/15/1958 BRE Cert OK","Weekly rental is 15.00 for the original address. 
Person 1 is Unemployed, Note: “Separated since 1956”
Welfare Amount is 16.45 every 2 weeks."
501,3195364380-61052-051_3195364380-61052-052,"Originally moved to 1965 Broadway Marie Antoinette Hotel Apt 706
BRE Cert 08/08/1958 Substandard
BRE Cert 08/18/1958 OK for 1980 Union Park Road Bronx
11/19/1958 Processed","Weekly rental is 25.00 for the original address. 
Person 1 is Unemployed.
No date in the back of the card. 
New apt. No. says 1st Fl
New rent is Free"
502,3195364380-61052-053_3195364380-61052-054,10/05/1958 Processed w/o BRE Cert,"Weekly rental is 12.75 for the original address.
Person 2 “Applied for D/W”
Widowed."
510,3195368322-61081-013_3195368322-61081-014,,Rent on site was paid weekly. Tenants moved into Amsterdam Houses Public Housing unit. Moving Expense contains “(BRE)” next to the amount. All other back card information is missing.
512,3195368322-61081-017_3195368322-61081-018,"10/27/1958 Processed BRE Cert
Family was moved over to 126 W 65st by the former leaser prior to our taking of building (early April '58). ",This family might be members of the same family as in the previous record.
513,3195368322-61081-019_3195368322-61081-020,10/27/1958 Processed (BRE Cert 09/30/58),On site rent was paid weekly. Relocation rent paid weekly. All other information except for the address is missing.
526,3195374663-61114-003_3195374663-61114-004,"03/18/1959, proc. bre 03/06/1959, to payment: 03/19/1959, cent. to sponsor: 03/18/1959, no moving affidavit: 03/09/1959",
551,3262901080-60985-009_3262901080-60985-010,03/02/1959:processed and 04/06/1959: processed. bre cert: 02/10/1959,
563,3262901378-60986-003_3262901378-60986-004,08/20/1958 processed w/o bre cert,
567,3262901378-60986-011_3262901378-60986-012,bre cert 03/20/1959 processed 03/26/1959,
570,3262901378-60986-017_3262901378-60986-018,"listing 06/01/1959, bre cert 06/03/1959",
572,3262901378-60986-021_3262901378-60986-022,bre cert 03/30/1959,
573,3262901378-60986-023_3262901378-60986-024,"bre cert 03/24/1959, processed 03/26/1959",
578,3262901700-60987-001_3262901700-60987-002,08/21/1958 For Process w/o BRE Cert.,Below investigator name it says: LE-S-4200
579,3262901700-60987-003_3262901700-60987-004,"11/26/1958 BRE Cert. Substandard overcrowded
12/10/1958 Processed","In the year of birth they wrote down their ages instead. I inputted when I thought they were born. 
H- 38, W- 36, S- 13, S- 11, S- 8, D-6, D-3, D-1 year and 3 months, D- 20 days
Hard to read the Welfare Investigator’s name. I wrote M. Glover.

In the Cooking & Refrig. Facilities section, Elec. range is crossed out.
There is a note that says the landlord took the refrigerator from the apartment."
580,3262901700-60987-005_3262901700-60987-006,"Listings May 25, 1959
BRE Cert. OK 05/29/1959","“No” is written on Heat, Gas, Electricity."
581,3262901700-60987-007_3262901700-60987-008,"08/18/1958 BRE Certification Substandard - No cent heat- Interior Bedrooms.
12/01/1959- Hab ceando stated family 5.7 p now 6 persons 4 children + 2 Adults
Reprocessed 12/18/1959","In the New Address line, two addresses are indicated. 
First address has 2 Apartments, 3 Room Free-Rent in the second Address.
Unknown-Abandoned is crossed out from the same line.
Additional address written in blue 
754 E. 152 St, E. Bt. 3 Apt #9
Rent written as $54.00
Can’t understand some of the additional information. "
583,3262901700-60987-011_3262901700-60987-012,"BRE Cert 03/30/1959
Processed 04/02/1959","Marital status has a note that states Single
No date in the back of the card"
584,3262901700-60987-013_3262901700-60987-014,"BRE Cert- 02/11/1959
Listings 02/25/1959","Weekly/monthly income indicated as Welfare, I included it as it was written.
Seperated is circled in marital status. 
Date moved in indicated as “1 year”"
585,3262901700-60987-015_3262901700-60987-016,"BRE Cert 03/25/1959
Listings 04/14/1959","22.00 indicated as being “from husband”
Income said to be Welfare
In Welfare Assistance there is a note that says “15 days” "
586,3262901700-60987-017_3262901700-60987-018,"Tenant offered 41 ms @ 55.00- b16 W 135th St. 05/01/1958
Accepted 05/01/1958
BRE Cert 05/28/1958","In weekly income for the second person, I can’t understand what is written, “Odemp”
For the third person, “Home” is written in weekly income
Marital status is separated, as well as not legally wed. "
588,3262901700-60987-021_3262901700-60987-022,Sub Tenant- Authorized by BRE,"No date
Date of first interview only marked as “10”"
597,3262902027-60988-003_3262902027-60988-004,"BRE Cert Substandard (No Central Heat) 01/20/1959
01/27/1959 Processed 
09/10/959 Sent new application for house payment pending heat installation in or before 11/15/1959
09/25/1959 Received news application for bonus ",All race categories were selected. No information on the relocation site.
601,3262902027-60988-011_3262902027-60988-012,"1463 Hoe Ave Bx 5 @ 58.00 (Refused)
03/04/1959 117 Judlaw st 5 @ 62.95 (refused only one closet)
Listing Apr. 7-1959 BRE Cert 04/15/1959",All Race categories were checked but it is evident the original check was on White. Date Moved In only includes the year. A lot of information is missing.
602,3262902027-60988-013_3262902027-60988-014,"BRE Cert 03/24/1959 
Listing Mar. 23/1959",Line across the welfare section. All Race categories checked. Clear Puerto Rican was checked differently. No relocation site information.
612,3262902338-60989-013_3262902338-60989-014,"04/11/1958: liability notice (policy playing), 03/13/1959: 3317 3rd ave 5 @ 40.00 (tenant refused), 03/23/1959: 938 e 163 st 5 @ 59.36, listing: 04/08/1959- bre 04/13/1959",
613,3262902338-60989-015_3262902338-60989-016,"03/24: 233 chester st Brooklyn ny 5R 55.00, 03/24: 18 spencer st Brooklyn 5 75.00, 05/07/1959: listings, bre 05/07/1959",
625,3262902617-60990-009_3262902617-60990-010,11/06/1958. 12/10/1958 listing bre cert,
629,3262902617-60990-017_3262902617-60990-018,"processed 07/16/1959, listing 05/25/1959, bre cert 05/22/1959, old address 120 w 64th st #9 + 10, 04/20 ",
631,3262902617-60990-021_3262902617-60990-022,"listing 04/ 20/1959, bre cert 05/12/1959",
632,3262902861-60991-001_3262902861-60991-002,11/20/1958 processed w/o bre cert,
638,3262902861-60991-013_3262902861-60991-014,"listing 03/17/1959, 03/24/1959 bre cert ",
642,3262902861-60991-021_3262902861-60991-022,11/16/1958 bre cert ok,
645,3262905290-60992-001_3262905290-60992-002,"02/27/1959 535 Dean St Brooklyn 5 @ 64.48 (landlord withdrew healthcare from tenant) 
04/14/1959 Madison Ave 5 @ 34. 50 + 45%
BRE Cert OK 05/12/1959",Note that 1 and 3 are employed
651,3262905290-60992-013_3262905290-60992-014,"11/26/1958 Processed w/o BRE Cert
BRE Cert. OK 11/17/1958",
652,3262905290-60992-015_3262905290-60992-016,"03/11/1959 304 & 118 M 3 @ 40.08 (refused)
Processed 05/04/1959- unknown at above address 
Reprocessed 05/07/1959 BRE Cert 05/07/1959 OK",9.50 a week in monthly rent (back of card)
654,3262905290-60992-019_3262905290-60992-020,"01/20/1959 @ Listings
BRE Cert. OK 11/19/1959",
659,3262905290-60992-029_3262905290-60992-030,,"Income Social Security
Widowed
Moving expenses note: 44.00 BRE"
663,3262905290-60992-037_3262905290-60992-038,"Listings 12/22/1958
BRE Cert OK 12/01/1958",
