desired_area,recoded,neighboorhood
Astoria,Queens,
upstate,New York,
Outside N.Y. suburbs,New York,
Upstate,New York,
will relocate send,will relocate self,
will try to relocate self,will relocate self,
Brooklyn or queens,"Brooklyn, Queens",
will relocate self,will relocate self,
In this area - Manahattan,Manhattan,1
Flushing (Queens) or L.I.,"Long Island, Queens",
Undecided,Undecided/?,
East Side (Manhattan),Manhattan,
Manhattan or Astoria,"Manhattan, Queens",
Manhattan or Bronx,"Bronx, Manhattan",
Brooklyn or Long Island,"Brooklyn, Long Island",
Manhattan - Washington Heights,Manhattan,
same,Manhattan,1
Near,Manhattan,1
W 50's,Manhattan,1
Middle Manhattan,Manhattan,
Long Island or Manhattan,"Long Island, Manhattan",
W 60s,Manhattan,1
East Side Manhattan or West,Manhattan,1
Same Area,Manhattan,1
Anywhere,Any,
Bronx or Manhattan,"Bronx, Manhattan",
Bronx,Bronx,
Manhattan east,Manhattan,
New Jersey,New Jersey,
L.I,Long Island,
Other area,Other,
Long Island or Upper Manhattan,"Long Island, Manhattan",
westside,Manhattan,1
Same Vecinity,Manhattan,1
"Astoria, L.I.","Long Island, Queens",
Manhattan - Neighborhood,Manhattan,1
Manhattan - Bronx,"Bronx, Manhattan",
Manhattan - Lower Manhattan,Manhattan,
Queens or Manhattan,"Manhattan, Queens",
Manhattan - Midtown,Manhattan,
Manhattan - Same,Manhattan,1
"Brooklyn, Manhattan","Brooklyn, Manhattan",
Manhattan - West Side Uptown,Manhattan,1
Manhattan - Westside (23st to 80st),Manhattan,1
anywhere,Any,
Anywhere or Manhattan,"Any, Manhattan",
26 St-49st Westside,Manhattan,1
Manhattan - anywhere,Manhattan,
Manhattan - Mid,Manhattan,
Manhattan - Mid West Side,Manhattan,1
Manhattan Long Island,"Long Island, Manhattan",
Manhattan - Lower Man or Mid West,Manhattan,1
Long Island (Queens) Astoria,Queens,
manhattan,Manhattan,
"Queens, Manhattan","Manhattan, Queens",
Manhattan - same neighborhood,Manhattan,1
Long Island (Queens),"Long Island, Queens",
Manhattan; ground floor,Manhattan,
Manhattan - similar area,Manhattan,1
anywhere but brooklyn,Not Brooklyn,
Manhattan - Yorkville,Manhattan,
Manhattan - East Asia,Manhattan,
bronx or Manhattan,"Bronx, Manhattan",
Washington Heights 173rd,Manhattan,
Brooklyn + Manhattan,"Brooklyn, Manhattan",
Suburb,Other,
Amsterdam- Anywhere,Manhattan,
Not Harlem Downtown Only,Manhattan,
Uptown Prospect 102 + Col. Ave.,Manhattan,
Lower East or West Side,Manhattan,1
Manhattan Any Place,Manhattan,
West Side,Manhattan,1
"Manhattan, bronx, Brooklyn ","Bronx, Brooklyn, Manhattan",
flushing queens,Queens,
Manhattan-West,Manhattan,1
Queens Manhattan,"Manhattan, Queens",
Manhattan- West Side,Manhattan,1
Uptown,Manhattan,
Manhattan West Side,Manhattan,1
"queens, bronx ","Bronx, Queens",
Manhattan-Queens,"Manhattan, Queens",
Bronx-Manhattan,"Bronx, Manhattan",
Manhattan-Bronx,"Bronx, Manhattan",
North Bronx,Bronx,
Manhattan U.T.,Manhattan,
Any- Bronx Preferred,"Any, Bronx",
Bronx and Manhattan,"Bronx, Manhattan",
Jackson Heights Area,Queens,
Lower Manhattan,Manhattan,
Upper Manhattan,Manhattan,
"Manhattan, Bronx ","Bronx, Manhattan",
New York,New York,
This area,Manhattan,1
Lower East Side,Manhattan,
Jetson Heights Long Island,Queens,
Manhattan near Village,Manhattan,1
"Manhattan, Bronx East or West ","Bronx, Manhattan",
90's-100's,Manhattan,
Washington Heights or W 28,Manhattan,
W 30'S,Manhattan,1
This Area,Manhattan,1
Manhattan- West,Manhattan,1
"bronx, Brooklyn ","Bronx, Brooklyn",
Bridge Port Connecticut,Connecticut,
no preference,Any,
"Manhattan , bronx ","Manhattan, Bronx",
